source,source_row,date,amount,signed_amount,currency,reference,description
ledger_transactions.csv | table=1,26,2024-01-03,943.22,943.22,,ledg00497,journal entry system auto
ledger_transactions.csv | table=1,32,2024-01-04,918.81,918.81,,ledg00473,journal entry system auto
ledger_transactions.csv | table=1,38,2024-01-05,843.35,843.35,,ledg00107,debit user sara
ledger_transactions.csv | table=1,65,2024-01-10,193.87,193.87,,ledg00496,journal entry user sara
ledger_transactions.csv | table=1,75,2024-01-13,571.03,571.03,,ledg00464,journal entry user john
ledger_transactions.csv | table=1,79,2024-01-14,1423.27,1423.27,,ledg00471,journal entry user john
ledger_transactions.csv | table=1,90,2024-01-16,784.91,784.91,,ledg00457,journal entry system auto
ledger_transactions.csv | table=1,101,2024-01-18,386.44,386.44,,ledg00456,journal entry user sara
ledger_transactions.csv | table=1,143,2024-01-25,679.37,679.37,,ledg00073,credit user sara
ledger_transactions.csv | table=1,213,2024-02-07,1143.03,1143.03,,ledg00481,journal entry system auto
ledger_transactions.csv | table=1,214,2024-02-07,1096.9,1096.9,,ledg00451,journal entry user sara
ledger_transactions.csv | table=1,219,2024-02-08,1387.54,1387.54,,ledg00474,journal entry user john
ledger_transactions.csv | table=1,223,2024-02-08,1050.89,1050.89,,ledg00329,debit user sara
ledger_transactions.csv | table=1,229,2024-02-09,829.2,829.2,,ledg00309,transfer system auto
ledger_transactions.csv | table=1,259,2024-02-17,47.6,47.6,,ledg00455,journal entry user sara
ledger_transactions.csv | table=1,296,2024-02-22,774.25,774.25,,ledg00482,journal entry system auto
ledger_transactions.csv | table=1,305,2024-02-24,787.71,787.71,,ledg00458,journal entry user sara
ledger_transactions.csv | table=1,331,2024-02-28,386.55,386.55,,ledg00159,debit system auto
ledger_transactions.csv | table=1,338,2024-02-29,513.1,513.1,,ledg00453,journal entry user sara
ledger_transactions.csv | table=1,340,2024-02-29,447.98,447.98,,ledg00469,journal entry user sara
ledger_transactions.csv | table=1,354,2024-03-02,89.74,89.74,,ledg00463,journal entry system auto
ledger_transactions.csv | table=1,381,2024-03-06,143.68,143.68,,ledg00292,debit user sara
ledger_transactions.csv | table=1,394,2024-03-08,1042.66,1042.66,,ledg00281,credit system auto
ledger_transactions.csv | table=1,407,2024-03-11,1016.72,1016.72,,ledg00394,credit system auto
ledger_transactions.csv | table=1,408,2024-03-11,1491.06,1491.06,,ledg00373,transfer user john
ledger_transactions.csv | table=1,411,2024-03-12,77.72,77.72,,ledg00490,journal entry system auto
ledger_transactions.csv | table=1,418,2024-03-12,1180.86,1180.86,,ledg00475,journal entry system auto
ledger_transactions.csv | table=1,425,2024-03-15,1249.65,1249.65,,ledg00221,credit user john
ledger_transactions.csv | table=1,432,2024-03-17,19.59,19.59,,ledg00477,journal entry system auto
ledger_transactions.csv | table=1,434,2024-03-17,307.26,307.26,,ledg00468,journal entry user sara
ledger_transactions.csv | table=1,445,2024-03-20,1065.1,1065.1,,ledg00486,journal entry user john
ledger_transactions.csv | table=1,449,2024-03-21,355.76,355.76,,ledg00465,journal entry system auto
ledger_transactions.csv | table=1,450,2024-03-21,99.99,99.99,,ledg00232,credit system auto
ledger_transactions.csv | table=1,458,2024-03-23,835.96,835.96,,ledg00467,journal entry system auto
ledger_transactions.csv | table=1,465,2024-03-25,1115.31,1115.31,,ledg00014,debit system auto
