match_type,confidence,source_a,source_a_row,source_b,source_b_row,date_a,date_b,amount_a,amount_b,currency_a,currency_b,reference_a,reference_b,description_a,description_b,amount_score,date_score,reference_score,description_score,direction_score,amount_difference,fx_rate,reason,gross_amount,settled_amount,fee_amount,fee_percent,context_score,matched_source_rows,matched_amounts,cluster_total,difference
FUZZY,86.0,ledger_transactions.csv | table=1,0,bank_statement.csv | table=1,4,2024-01-01,2024-01-01,603.77,603.77,INV,,ledg00165,bank00438,debit user john,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,1,bank_statement.csv | table=1,2,2024-01-01,2024-01-01,1068.91,1068.91,,,ledg00380,bank00136,debit system auto,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,2,bank_statement.csv | table=1,8,2024-01-01,2024-01-01,829.56,829.56,,,ledg00122,bank00177,credit system auto,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,90.0,ledger_transactions.csv | table=1,3,bank_statement.csv | table=1,3,2024-01-01,2024-01-01,50.0,50.0,,,ledg00434,bank00474,credit user john,credit,100.0,100.0,44.44,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,4,bank_statement.csv | table=1,7,2024-01-01,2024-01-01,749.95,749.95,,,ledg00095,bank00432,transfer user john,transfer,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,5,bank_statement.csv | table=1,9,2024-01-01,2024-01-01,1107.94,1107.93,,,ledg00062,bank00263,credit user john,credit,100.0,100.0,33.33,100.0,100.0,0.01,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,90.0,ledger_transactions.csv | table=1,6,bank_statement.csv | table=1,1,2024-01-01,2024-01-01,799.12,799.12,,,ledg00005,bank00105,debit system auto,debit,100.0,100.0,44.44,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,7,bank_statement.csv | table=1,0,2024-01-01,2024-01-01,418.23,418.23,,,ledg00101,bank00250,credit user john,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,8,bank_statement.csv | table=1,5,2024-01-01,2024-01-01,250.0,250.0,,,ledg00102,bank00434,transfer user sara,transfer,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,9,bank_statement.csv | table=1,6,2024-01-01,2024-01-01,1442.87,1442.87,,,ledg00039,bank00210,debit user john,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,10,bank_statement.csv | table=1,10,2024-01-02,2024-01-02,230.16,230.16,,,ledg00427,bank00206,credit system auto,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,11,bank_statement.csv | table=1,19,2024-01-02,2024-01-02,31.57,31.57,,,ledg00058,bank00019,credit user john,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,12,bank_statement.csv | table=1,13,2024-01-02,2024-01-02,1507.28,1507.28,,,ledg00369,bank00201,debit user john,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,13,bank_statement.csv | table=1,16,2024-01-02,2024-01-02,484.09,484.09,,,ledg00388,bank00015,credit user sara,credit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,14,bank_statement.csv | table=1,12,2024-01-02,2024-01-02,1735.32,1735.32,,,ledg00149,bank00262,debit system auto,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,15,bank_statement.csv | table=1,20,2024-01-02,2024-01-02,500.0,500.0,,,ledg00143,bank00480,transfer user sara,transfer,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,16,bank_statement.csv | table=1,17,2024-01-02,2024-01-02,841.36,841.36,,,ledg00210,bank00359,debit system auto,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
