source,source_row,date,amount,signed_amount,currency,reference,description
bank_statement.csv | table=1,18,2024-01-02,50.0,50.0,,bank00055,transfer
bank_statement.csv | table=1,58,2024-01-09,250.0,250.0,,bank00103,credit
bank_statement.csv | table=1,61,2024-01-10,1905.77,1905.77,,bank00467,credit
bank_statement.csv | table=1,75,2024-01-14,100.0,100.0,,bank00051,credit
bank_statement.csv | table=1,80,2024-01-15,50.0,50.0,,bank00152,debit
bank_statement.csv | table=1,90,2024-01-16,548.78,548.78,,bank00259,debit
bank_statement.csv | table=1,114,2024-01-20,700.44,700.44,,bank00236,debit
bank_statement.csv | table=1,117,2024-01-21,1151.14,1151.14,,bank00022,credit
bank_statement.csv | table=1,125,2024-01-22,1929.4,1929.4,,bank00444,transfer
bank_statement.csv | table=1,161,2024-01-28,500.0,500.0,,bank00161,credit
bank_statement.csv | table=1,163,2024-01-29,172.24,172.24,,bank00500,debit
bank_statement.csv | table=1,172,2024-01-31,1533.06,1533.06,,bank00256,debit
bank_statement.csv | table=1,188,2024-02-02,806.6,806.6,,bank00114,debit
bank_statement.csv | table=1,202,2024-02-04,250.0,250.0,,bank00131,transfer
bank_statement.csv | table=1,239,2024-02-12,561.76,561.76,,bank00364,credit
bank_statement.csv | table=1,240,2024-02-12,1000.0,1000.0,,bank00153,credit
bank_statement.csv | table=1,242,2024-02-13,1635.03,1635.03,,bank00189,credit
bank_statement.csv | table=1,243,2024-02-13,506.84,506.84,,bank00331,credit
bank_statement.csv | table=1,263,2024-02-17,213.37,213.37,,bank00436,transfer
bank_statement.csv | table=1,270,2024-02-17,290.75,290.75,,bank00271,credit
bank_statement.csv | table=1,279,2024-02-20,1755.63,1755.63,,bank00188,debit
bank_statement.csv | table=1,313,2024-02-25,1000.0,1000.0,,bank00222,debit
bank_statement.csv | table=1,318,2024-02-26,1674.76,1674.76,,bank00252,credit
bank_statement.csv | table=1,332,2024-02-28,1010.41,1010.41,,bank00192,transfer
bank_statement.csv | table=1,400,2024-03-09,100.0,100.0,,bank00457,credit
bank_statement.csv | table=1,408,2024-03-11,364.29,364.29,,bank00244,credit
bank_statement.csv | table=1,415,2024-03-12,151.67,151.67,,bank00003,credit
bank_statement.csv | table=1,440,2024-03-20,273.23,273.23,,bank00291,debit
bank_statement.csv | table=1,449,2024-03-22,100.0,100.0,,bank00090,credit
bank_statement.csv | table=1,463,2024-03-26,1445.85,1445.85,,bank00309,credit
bank_statement.csv | table=1,478,2024-03-28,500.0,500.0,,bank00127,debit
bank_statement.csv | table=1,481,2024-03-29,100.0,100.0,,bank00175,credit
bank_statement.csv | table=1,482,2024-03-29,595.15,595.15,,bank00253,credit
bank_statement.csv | table=1,495,2024-03-30,1477.79,1477.79,,bank00360,credit
bank_statement.csv | table=1,499,2024-03-30,458.82,458.82,,bank00460,credit
